run,entropy_threshold,top1_threshold,method,samples,kgw_success_rate,weighted_success_rate,avg_z_score,avg_weighted_z_score,avg_winmax_weighted_z_score,avg_kl,avg_delta,gate_pass_rate,avg_candidate_size
h010_t095_n50,0.10,0.95,CA-KL,50,0.92,0.0,7.378376885429276,,,0.3893534544409221,2.503413652008469,1.0,50265.0
h010_t095_n50,0.10,0.95,CA-KL + Candidate Greenlist,50,0.88,0.96,6.527193921721831,8.893601566493333,8.945973796819944,0.39212597478090233,2.4912427427746007,0.7281396825396825,223.98498730158727
h010_t095_n50,0.10,0.95,CA-KL + Candidate Greenlist + Weighted/WinMax,50,0.78,0.96,5.822736849552419,8.678972085090523,8.715669876914713,0.3412064225193477,1.6579365959927121,0.7065998556998556,212.70734920634928
h010_t095_n50,0.10,0.95,CA-KL + Weighted Detector,50,0.92,0.94,7.378376885429276,8.752322386331016,8.784367823625367,0.3893534544409221,2.503413652008469,1.0,50265.0
h010_t095_n50,0.10,0.95,No Watermark,50,0.0,0.0,-0.4040511188676468,0.2030529087724483,1.7580435210842003,,,0.7068432432432431,202.80692972972966
h020_t095_n50,0.20,0.95,CA-KL,50,0.92,0.0,7.378376885429276,,,0.3893534544409221,2.503413652008469,1.0,50265.0
h020_t095_n50,0.20,0.95,CA-KL + Candidate Greenlist,50,0.88,0.94,6.527193921721831,8.089629350354627,8.155174974946778,0.39212597478090233,2.4912427427746007,0.5237873015873015,223.98498730158727
h020_t095_n50,0.20,0.95,CA-KL + Candidate Greenlist + Weighted/WinMax,50,0.72,0.96,5.117546949839588,8.32240079229043,8.36036141722558,0.25756917626875214,1.1745109568622942,0.5214077104115387,201.25367086194237
h020_t095_n50,0.20,0.95,CA-KL + Weighted Detector,50,0.92,0.94,7.378376885429276,8.752322386331016,8.784367823625367,0.3893534544409221,2.503413652008469,1.0,50265.0
h020_t095_n50,0.20,0.95,No Watermark,50,0.0,0.0,-0.4040511188676468,0.12545450652027368,1.7553736375658004,,,0.5047405405405405,202.80692972972966
h025_t090_n50,0.25,0.90,CA-KL,50,0.92,0.0,7.378376885429276,,,0.3893534544409221,2.503413652008469,1.0,50265.0
h025_t090_n50,0.25,0.90,CA-KL + Candidate Greenlist,50,0.88,0.96,6.527193921721831,7.382193928510706,7.453355414874528,0.39212597478090233,2.4912427427746007,0.41231111111111113,223.98498730158727
h025_t090_n50,0.25,0.90,CA-KL + Candidate Greenlist + Weighted/WinMax,50,0.58,0.98,4.16866885496288,7.575692872039993,7.615648688135773,0.2046768414328074,0.9182061697964292,0.41234623655913977,211.45781843317974
h025_t090_n50,0.25,0.90,CA-KL + Weighted Detector,50,0.92,0.94,7.378376885429276,8.752322386331016,8.784367823625367,0.3893534544409221,2.503413652008469,1.0,50265.0
h025_t090_n50,0.25,0.90,No Watermark,50,0.0,0.0,-0.4040511188676468,0.13774810457236275,1.7890376414437084,,,0.40451891891891906,202.80692972972966
h030_t090_n50,0.30,0.90,CA-KL,50,0.92,0.0,7.378376885429276,,,0.3893534544409221,2.503413652008469,1.0,50265.0
h030_t090_n50,0.30,0.90,CA-KL + Candidate Greenlist,50,0.88,0.92,6.527193921721831,6.388047515768304,6.505388102344058,0.39212597478090233,2.4912427427746007,0.29921587301587294,223.98498730158727
h030_t090_n50,0.30,0.90,CA-KL + Candidate Greenlist + Weighted/WinMax,50,0.26,0.96,2.9042317867334644,6.741667054109425,6.8057959569395425,0.14818353145751195,0.6476606515066965,0.2966634920634921,203.17128253968244
h030_t090_n50,0.30,0.90,CA-KL + Weighted Detector,50,0.92,0.94,7.378376885429276,8.752322386331016,8.784367823625367,0.3893534544409221,2.503413652008469,1.0,50265.0
h030_t090_n50,0.30,0.90,No Watermark,50,0.0,0.0,-0.4040511188676468,0.065649352489878,1.7409155273456371,,,0.2951675675675675,202.80692972972966
h035_t085_n50,0.35,0.85,CA-KL,50,0.92,0.0,7.378376885429276,,,0.3893534544409221,2.503413652008469,1.0,50265.0
h035_t085_n50,0.35,0.85,CA-KL + Candidate Greenlist,50,0.88,0.76,6.527193921721831,5.203681534644695,5.3216141578108465,0.39212597478090233,2.4912427427746007,0.19417460317460322,223.98498730158727
h035_t085_n50,0.35,0.85,CA-KL + Candidate Greenlist + Weighted/WinMax,50,0.2,0.84,2.3187143773298953,5.828105042332921,5.929092003697702,0.10626694421016125,0.45849927062988277,0.21200000000000002,224.72100000000006
h035_t085_n50,0.35,0.85,CA-KL + Weighted Detector,50,0.92,0.94,7.378376885429276,8.752322386331016,8.784367823625367,0.3893534544409221,2.503413652008469,1.0,50265.0
h035_t085_n50,0.35,0.85,No Watermark,50,0.0,0.0,-0.4040511188676468,0.029577569023756682,1.634671624818423,,,0.20081621621621623,202.80692972972966
