prompt_id,method,delta,delta_min,delta_max,prompt,generated_text,tokens_counted,num_green_tokens,green_fraction,z_score,p_value,prediction,confidence,word_count,distinct_1,distinct_2,repetition_rate,avg_step_delta,observed_delta_min,observed_delta_max
1,No Watermark,,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the Danube. He was elected Bishop of Salzburg in 766 and succeeded him as Bishop of Salzburg.

In the first century, he became engaged in many realizations of his faith, including the promotion of the Faith as the source of the knowledge of the world, especially the knowledge of man and the knowledge of man's religion, and his assumption of the power and influence of the Church, in order to gain the knowledge of man's religion.

He was",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,79,0.4810126582278481,0.782051282051282,0.5189873417721519,,,
1,Fixed Delta 0.5,0.5,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the Danube. He was elected Bishop of Salzburg in 777 and succeeded him as Bishop of Salzburg in 778. He served in the Diocese of Salzburg for 17 years and in 781 he was elected Bishop of Salzburg.

Archbishop Vergilius was appointed Bishop of Salzburg on 7 July 783. He was consecrated Bishop of Salzburg in 784.

In 797, he was consecrated Bishop",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,64,0.484375,0.6984126984126984,0.515625,0.5,0.5,0.5
1,Fixed Delta 1.0,1.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the Danube. He was elected Bishop of Salzburg in 777 and succeeded him for four years. He was bishop of Salzburg from 789 to 797. In the time of his election, he had a total of 18,000 dioceses. He was consecrated as a bishop of Salzburg on 5 March 797. He was consecrated as a bishop of Salzburg on 1 January 798. He was consecrated as a bishop of Sal",99,33,0.3333333333333333,1.9148542155126762,0.027755549048935523,Human/Unwatermarked,0.0,72,0.5277777777777778,0.704225352112676,0.4722222222222222,1.0,1.0,1.0
1,Fixed Delta 2.0,2.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the area of the Church of Saint Boniface. He was consecrated Bishop in 772 and served until his death. He was consecrated Bishop in 778, and was consecrated Bishop in 784, by St. Boniface. He is known today as a great-grandfather of St. Boniface.

References

External links

""Inventors and Demonstrators in the Church of Saint Boniface,” The Netherlands of the",99,50,0.5050505050505051,5.86061441717516,2.305788288019096e-09,Watermarked,0.9999999976942117,62,0.5483870967741935,0.7540983606557377,0.4516129032258065,2.0,2.0,2.0
1,Fixed Delta 3.0,3.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," into the whole world. He was consecrated as a bishop and he served for another seven years. He is still considered a bishop and a bishop-in-training and a bishop-in-training, or is it? - ""A Bishop-in-training, or a bishop-in-training,” it may be assumed, because these days, people are not given a clue about who he is, what he would do and where he would live, what he would do in order",99,78,0.7878787878787878,12.359513572854546,2.1638374768437998e-35,Watermarked,1.0,77,0.5454545454545454,0.75,0.4545454545454546,3.0,3.0,3.0
1,Adaptive Delta,adaptive,0.5,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith", in the area of the Church of Saint Boniface. He was consecrated Bishop in 772 (not exactly the Kingdom of the Holy Roman Empire) and was made Archbishop of Salzburg with effect from 773 (not exactly the Kingdom of the Holy Roman Empire) until his death. He was consecrated Bishop in 780 (not exactly the Kingdom of the Holy Roman Empire) and was consecrated Bishop in 797 (not exactly the Kingdom of the Holy Roman Empire) until his death,99,42,0.42424242424242425,4.003786086981051,3.1168367625803447e-05,Watermarked,0.9999688316323742,79,0.3924050632911392,0.5256410256410257,0.6075949367088608,1.7537092900276183,1.6180340051651,2.420637369155884
2,No Watermark,,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is not one of the top-10 wide receivers, he has been one of the top-10 tight ends. And while Butler is the first of five wide receivers to have collected 100 or more receiving yards in his career, he has the most receiving yards with scores of at least 100 each game this season.

There’s also a lot of competition for a top-10 tight end. In the end, what matters is who gets the ball.

“Everybody",99,22,0.2222222222222222,-0.6382847385042254,0.73835582764413,Human/Unwatermarked,0.0,82,0.6585365853658537,0.8765432098765432,0.3414634146341463,,,
2,Fixed Delta 0.5,0.5,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is not one of the top-10 wide receivers, he has been one of the top-10 tight ends. He has been one of the top receivers in the NFL. The Michigan State tight end is one of the top-10 tight ends nationally. The pick was taken with the No. 16 overall pick in the NFL Draft. Butler is a great name for a name with a great name.

Basketball

Basketball is a great name for a name with a great",99,34,0.3434343434343434,2.1469577567869402,0.01589832240819098,Human/Unwatermarked,0.0,84,0.4166666666666667,0.6385542168674698,0.5833333333333333,0.5,0.5,0.5
2,Fixed Delta 1.0,1.0,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is on track to become the first player on the roster he has played with since he got drafted in the first round. So far, the first of Butler's three NFL starts has been as a rookie receiver in 2017.
""He's a great receiver,"" Butler said. ""He's a really good player and a really good person.""
The two-time All-Pro turned pro in 2017 after spending the first two seasons with the Miami Dolphins. Butler had a career-high five",99,46,0.46464646464646464,4.932200252078106,4.0654247701977057e-07,Watermarked,0.999999593457523,83,0.6506024096385542,0.9146341463414634,0.3493975903614458,1.0,1.0,1.0
2,Fixed Delta 2.0,2.0,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is on track to make his Division I college debut against Alabama later this week. He got a chance to prove he can and has already proven he can as he became the latest big-play weapon of the 2019 college class. The 6-foot-6, 255-pound, 158-pound Butler’s versatility is something that the national media doesn’t seem to recognize. Butler has plenty of room to grow in his game and it’s possible that the former USC",99,63,0.6363636363636364,8.87796045374059,3.4048719575050004e-19,Watermarked,1.0,84,0.7261904761904762,0.9759036144578314,0.27380952380952384,2.0,2.0,2.0
2,Fixed Delta 3.0,3.0,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," The 6-foot-4, 205-pound wide receiver, who has made career catches in five straight games, also had his third career game in double figures in receptions in his career (36). There's no doubt about Butler – at 6-4, 190 pounds, he has plenty of room to grow in his game and with every catch, every play, every throw of the game, he'll grow in his game and with every touchdown, every touchdown, every touchdown, every touchdown, every",99,73,0.7373737373737373,11.198995866483228,2.061905353433795e-29,Watermarked,1.0,79,0.6075949367088608,0.8333333333333334,0.3924050632911392,3.0,3.0,3.0
2,Adaptive Delta,adaptive,0.5,3.0,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is on track to make his Division I college debut against Alabama later this week. He got a chance to prove he can and has already proven he can as he became the latest big-play weapon in Miami's run-first defense.
""He's a great leader. He's a great leader to have around here,"" Butler said. ""He's a great leader that makes a great team and a great team in everybody's head. He's a guy that we can all be proud",99,63,0.6363636363636364,8.87796045374059,3.4048719575050004e-19,Watermarked,1.0,83,0.6746987951807228,0.8658536585365854,0.32530120481927716,1.8424191403388976,1.6180340051651,2.2527060508728027
3,No Watermark,,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around the world in virtual reality, and have your buddies join in.

“As a virtual reality technology company, we’re excited to introduce our new online experience to the real world,” said Richard M. Jones, chief technology officer at 8i. “We’re’re building a world-class virtual reality experience that’s as real and immersive as anyone’s ever seen.”

8i’s Portal will",99,22,0.2222222222222222,-0.6382847385042254,0.73835582764413,Human/Unwatermarked,0.0,65,0.6615384615384615,0.953125,0.3384615384615385,,,
3,Fixed Delta 0.5,0.5,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around the 3D world with the users’ eyes on, and the user’s head on, while also seeing the reflections of their surroundings.

The 8i Portal will be available to download for free for the next two weeks, as the company has launched a live video stream that gives you a taste of what you’ll be hearing. The stream will also contain a live stream of the 8i Portal 1.1.0, which has not yet been released.
",99,39,0.3939393939393939,3.307475463158259,0.00047070479296677613,Human/Unwatermarked,0.0,79,0.6835443037974683,0.9615384615384616,0.31645569620253167,0.5,0.5,0.5
3,Fixed Delta 1.0,1.0,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around a 3D world with virtual goggles, make your own, and even create your own virtual world (not to mention all the fun stuff you could do in virtual reality, which is why it’s so popular).

The 8i Portal is available to download now for free, and you can’t miss it.

8i’s head

In fact, its head is the main reason why it’s so well-received. The head is",99,43,0.43434343434343436,4.235889628255314,1.138242922895398e-05,Watermarked,0.9999886175707711,73,0.6712328767123288,0.9305555555555556,0.3287671232876712,1.0,1.0,1.0
3,Fixed Delta 2.0,2.0,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around a room in virtual reality without touching anything. You’ll also be able to watch the game through your digital camera or Oculus Rift, which can be used to zoom into or out real-time in virtual reality. The 8i Portal is one of the first features that allows you to enjoy a full-body experience with virtual reality. You’ll be able to enjoy a full-body experience with virtual reality without touching anything.

In order for you to enjoy a full-",99,61,0.6161616161616161,8.413753371192062,1.9854759384111046e-17,Watermarked,1.0,84,0.5833333333333334,0.7469879518072289,0.41666666666666663,2.0,2.0,2.0
3,Fixed Delta 3.0,3.0,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," in everyday activities on your set up and interact with virtual friends, whether you are a friend or a friend who wants to dance. The TV game has two “virtual” stages with real time cameras and a rotating set that lets users use the camera for more interactive events than a video screen. A user’s avatar can be used to zoom in and out of the real world and interact with virtual friends, or have them play a video game for entertainment purposes. The 6i Portal is",99,79,0.797979797979798,12.59161711412881,1.17406494602355e-36,Watermarked,1.0,88,0.7045454545454546,0.9310344827586207,0.2954545454545454,3.0,3.0,3.0
3,Adaptive Delta,adaptive,0.5,3.0,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around a room in virtual reality without touching anything. You’ll also be able to zoom in on your surroundings, which will make your VR experience more realistic.

8i’s 3D video will come to 8i Portal for free starting at $30, which includes the first month of the virtual world with the first wall-to-wall video (you can check out the full video here).

9i Portal’s first wall-to-wall video will",99,57,0.5757575757575758,7.4853392060950075,3.5681289972117485e-14,Watermarked,0.9999999999999644,75,0.68,0.918918918918919,0.31999999999999995,1.877343623638153,1.6180340051651,2.423213481903076
4,No Watermark,,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board on Saturday will vote on whether to give Amazon, the world's largest e-commerce company, $23 million in incentives to build a campus in Crystal City, Virginia. The five-member board is expected to vote on whether to give Amazon the $23 million in incentives, which were approved last week.

The five-member board will vote on whether to give Amazon $23 million in incentives, which were approved last week.

Pleasant Valley, Va.- Amazon",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,77,0.5064935064935064,0.6578947368421053,0.49350649350649356,,,
4,Fixed Delta 0.5,0.5,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board of Supervisors voted unanimously to approve the deal, and the project’s architect, F.D.W. Blum, has been named as one of the architects.

The county’s Central District has the largest concentration of Amazon workers, including hundreds of regional and local workers. The company has been pressuring the federal government to get Amazon a $9 billion federal contract.

The company has also been lobbying the state for $12 billion. The state�",99,34,0.3434343434343434,2.1469577567869402,0.01589832240819098,Human/Unwatermarked,0.0,76,0.6447368421052632,0.9466666666666667,0.35526315789473684,0.5,0.5,0.5
4,Fixed Delta 1.0,1.0,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board of Supervisors voted unanimously to approve the deal, and the $23 million Amazon got from the federal government could come from other sources, including potential sales and construction of a large warehouse somewhere in the county. The Arlington County Board of Supervisors voted to approve the Amazon deal, and the $23 million Amazon got from the federal government could come from other sources, including potential sales and construction of a large warehouse somewhere in the county.
Start the conversation, or Read more at Virginia Post",99,37,0.37373737373737376,2.8432683806097314,0.0022326725999624137,Human/Unwatermarked,0.0,88,0.45454545454545453,0.5977011494252874,0.5454545454545454,1.0,1.0,1.0
4,Fixed Delta 2.0,2.0,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board of Supervisors voted unanimously on May 17 to give Amazon $23 million and other incentives to build the site. The board has already authorized $15 million in construction and spending, but with those funds it will decide on what is most important. A preliminary recommendation to give Amazon $23 million and other incentives for the project is on the table and it’s scheduled to return to the board later this week. The board has yet to make a final decision on the project, but it",99,54,0.5454545454545454,6.789028582272215,5.6445538431059e-12,Watermarked,0.9999999999943554,89,0.6179775280898876,0.8636363636363636,0.3820224719101124,2.0,2.0,2.0
4,Fixed Delta 3.0,3.0,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Board of Advancement was set to meet on May 17th, and the hearing was scheduled to begin at 8:30pm. The hearing will be broadcast via a live television system. The board has agreed that Amazon will not be granted a grant of up to $10 million, which the company has said will’ ultimately fund a planned $12 billion investment in its new headquarters and office buildings. The company has said the $24 billion it’ll need for its new HQ2 project is",99,73,0.7373737373737373,11.198995866483228,2.061905353433795e-29,Watermarked,1.0,83,0.7108433734939759,0.9390243902439024,0.28915662650602414,3.0,3.0,3.0
4,Adaptive Delta,adaptive,0.5,3.0,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board of Supervisors voted unanimously to grant Amazon $23 million to build a headquarters campus in Crystal City.

Watersboro, Va. – A federal judge ruled Friday that the state of Virginia is legally allowed to provide a $3.5 million contract to build a logistics center for Amazon.“The federal judge’s decision to grant Amazon’s motion for an injunction restraining the state of Virginia from providing a contract to build the logistics center for Amazon is based on",99,53,0.5353535353535354,6.556925040997952,2.7464302917418046e-11,Watermarked,0.9999999999725357,81,0.6049382716049383,0.8375,0.3950617283950617,1.8203766202926637,1.6180340051651,2.391690254211426
