prompt_id,method,delta,delta_min,delta_max,prompt,generated_text,tokens_counted,num_green_tokens,green_fraction,z_score,p_value,prediction,confidence,word_count,distinct_1,distinct_2,repetition_rate,avg_step_delta,observed_delta_min,observed_delta_max,weighted_z_score,winmax_weighted_z_score,weighted_p_value,weighted_prediction,weighted_confidence,avg_kl,avg_delta,avg_entropy,avg_p_green_mass,gate_pass_rate,avg_candidate_size,candidate_top_p,kl_epsilon,ppl_num_scored_tokens,ppl_nll_sum,ppl_avg_nll,ppl
1,Fixed Delta 1.7,1.7,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in Central Europe, which became the Croatia of the Holy Empire, and later the Slavic land of the Habsburg Kingdom.

Vergilius was made Archbishop of Trier in 772 and died in 778, after which the see of Trier became vacant. It was not until the election of Eadbert of Bavaria as Archbishop of Trier in 807 that the see returned to uncongenial Habsburg hands. For well over two centuries, the Holy",99,48,0.48484848484848486,5.396407334626633,3.399424987395955e-08,Watermarked,0.9999999660057501,71,0.6338028169014085,0.9,0.3661971830985915,1.7,1.7,1.7,,,,,,,,,,,,,,100,193.25000000,1.93250000,6.90675556
2,Fixed Delta 1.7,1.7,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But he gets most of his attention from the Colts. Last year he tormented them as a junior (not to mention other top Big 10 schools) and it's led to him landing at the top of the Colts' board at wide receiver. ""He's a guy that's a great route runner. He’s a guy that can do so much,” said Indianapolis Colts defensive coordinator Matt Eberflus. ""He has good anticipation, he has good route running, he�",99,50,0.5050505050505051,5.86061441717516,2.305788288019096e-09,Watermarked,0.9999999976942117,76,0.75,0.96,0.25,1.7,1.7,1.7,,,,,,,,,,,,,,100,203.50000000,2.03500000,7.65225213
3,Fixed Delta 1.7,1.7,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around a 3D virtual set in real-time on your computer. The virtual sets will include a small, living room set up and a modern office. The virtual living room will include a real bed, books, and a coffee table. The virtual office will include a computer desk and a chair. A user’s avatar will be standing in the living room or office, taking in the scene in real-time.

8i’s videos are not available to all consumers.",99,53,0.5353535353535354,6.556925040997952,2.7464302917418046e-11,Watermarked,0.9999999999725357,80,0.55,0.8354430379746836,0.44999999999999996,1.7,1.7,1.7,,,,,,,,,,,,,,100,186.00000000,1.86000000,6.42373677
4,Fixed Delta 1.7,1.7,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Board of Supervisors had set a vote for May 23 but postponed it to give residents more time to read about the Amazon deal.

Supervisors are expected to vote on the deal within the next 30 minutes. The board has scheduled a meeting at 1 p.m. at the Arlington County Government Center on Virginia Avenue NE. A majority vote is required to move forward.

Amazon’s decision to locate the second headquarters in Arlington County and Northern Virginia has drawn accolades and sharp criticism",99,40,0.40404040404040403,3.5395790044325226,0.00020038289685673868,Human/Unwatermarked,0.0,85,0.7176470588235294,0.9880952380952381,0.2823529411764706,1.7,1.7,1.7,,,,,,,,,,,,,,100,161.75000000,1.61750000,5.04047337
5,Fixed Delta 1.7,1.7,,,"Karl Kispert, principal of cyber and information security, has more than 28 years of experience in selling, managing and delivering information risk management, internal audit, regulatory and compliance programs, and information security and technology risk management. A former chief information security"," officer of the state of North Carolina, he also served for four years as a board member of the NCISe Association. He is a frequent speaker on information risk management, cyber security, compliance and regulatory issues, and is on the advisory boards for several information risk management organizations. He is also a frequent researcher in information risk management and information security, and a frequent presenter at conferences on information risk management and information security. He is the author of numerous articles and whitepapers on information risk management and",99,52,0.5252525252525253,6.324821499723688,1.2676273926722297e-10,Watermarked,0.9999999998732373,88,0.5,0.7816091954022989,0.5,1.7,1.7,1.7,,,,,,,,,,,,,,100,140.75000000,1.40750000,4.08572830
6,Fixed Delta 1.7,1.7,,,"The Hawaii man who was fired after issuing the false ballistic missile alert in mid-January told reporters Friday that he was very upset over the incident but remained adamant that it appeared, at the time, to be a real-life attack. The former"," Hawaii Emergency Management Agency official, Cory Padden, also said, he has no regrets about sending the warning, which had people across the state panic for more than 40 minutes.

""I knew there was a high probability that it was not a drill,"" Padden testified in a criminal court hearing in Honolulu’s federal courthouse. ""I knew it was a real emergency.""

Padden has pleaded not guilty in an insider trading case accusing him of making more than $3 million by",99,43,0.43434343434343436,4.235889628255314,1.138242922895398e-05,Watermarked,0.9999886175707711,80,0.775,0.9493670886075949,0.22499999999999998,1.7,1.7,1.7,,,,,,,,,,,,,,100,167.00000000,1.67000000,5.31216780
7,Fixed Delta 1.7,1.7,,,"Shania Twain expected to break the charts with new album NOW! Even after a 15-year hiatus, she’s still the one! Shania Twain is on pace to top the charts with her new album NOW. The 16-song"," album is released on August 31st and tracks are already turning up on the top 40 charts! “The reaction has been incredible and it’s really meant a lot to me,” said Shania Twain. “The songs are so emotional and it’s great that they’re resonating with people. I’ve never been so positive about anything in my life.” The opening track “Now” is available now!",96,52,0.5416666666666666,6.599663291074444,2.0604631764593668e-11,Watermarked,0.9999999999793954,67,0.8059701492537313,0.9696969696969697,0.19402985074626866,1.7,1.7,1.7,,,,,,,,,,,,,,96,154.50000000,1.60937500,4.99968545
8,Fixed Delta 1.7,1.7,,,"A version of this article appeared in the print edition of The Daily Star on July 12, 2018, on page 16. Assembled by Palestinian artist Said Baalbaki, the exhibition presents 50 of Abbo's sketches, etchings and"," watercolors in a compact format that sit alongside recent work, including ""The Wrong Door"" by Benny Fayed, which was originally shown at the Loves Gallery in London in 2013. The show is on view at the MCA until July 28.

""My grandfather was a painter, and he’s a friend of the photographer and artist, John Szarkowski,"" Abbo said. ""He gave me some books, and I started reading them and realized that I could use",99,48,0.48484848484848486,5.396407334626633,3.399424987395955e-08,Watermarked,0.9999999660057501,75,0.7866666666666666,0.9864864864864865,0.21333333333333337,1.7,1.7,1.7,,,,,,,,,,,,,,100,227.62500000,2.27625000,9.74008651
9,Fixed Delta 1.7,1.7,,,"A blind man in his 60s is searching for the young man who pulled him back from an approaching train and saved his life last Thursday, Nov. 9. Mike Wyatt stood at the stairs to the Peoria train station in Aurora, Colorado,"," where he gets on and off the trains every day on his way to work. A black man got off the train, apparently at the next stop, and walked toward him. He was wearing a black jacket, gray pants, a black baseball hat and a black backpack with a red strap, Wyatt said.
“He looked like a wall,” Wyatt said. He noticed the man didn’t have the right shoes on, either. Wyatt said he thinks the man was homeless,",99,55,0.5555555555555556,7.021132123546479,1.100388069780592e-12,Watermarked,0.9999999999988997,80,0.6375,0.8860759493670886,0.36250000000000004,1.7,1.7,1.7,,,,,,,,,,,,,,100,171.25000000,1.71250000,5.54280117
10,Fixed Delta 1.7,1.7,,,"After Kevin’s horrific leg injury, everyone is asking: will he ever play basketball again? Dr. Glashow, co-chief of sports medicine at Mount Sinai Medical Center, tells HollywoodLife.com exclusively if Kevin will ever be back"," in the NBA. Click to read more!

Kevin, 27, played for the NBA’s Oklahoma City Thunder from 2007-2011. He’s currently playing in Europe, with French team Artland. He recently suffered an injury that will keep him off the court for the rest of the season. He’s hoping to return to the NBA, but Dr. Glashow thinks that might not be possible. “I would assume no,” Dr. Gl",99,47,0.47474747474747475,5.164303793352369,1.2066773532761895e-07,Watermarked,0.9999998793322646,71,0.7605633802816901,0.9428571428571428,0.23943661971830987,1.7,1.7,1.7,,,,,,,,,,,,,,100,142.00000000,1.42000000,4.13712044
11,Fixed Delta 1.7,1.7,,,This month some important Walmart news did not get the attention it deserved. The news wasn't some flashy announcement about virtual reality or about some new service for busy Manhattanites. It was something much more subtle and much more substantive. It was the hire," of the first Walmart community manager.

Walmart hired Matt Mulvaney, a community manager for Foursquare, and a former executive producer of the MSNBC show Hardball with Chris Matthews. He is currently leading a new initiative called ""Walmart Watch."" He's a great hire, and it’s great that Walmart is starting to listen to its customers.

Walmart Watch will be an important part of Walmart’s online experience, and it will help them dominate",99,53,0.5353535353535354,6.556925040997952,2.7464302917418046e-11,Watermarked,0.9999999999725357,73,0.6986301369863014,0.9444444444444444,0.3013698630136986,1.7,1.7,1.7,,,,,,,,,,,,,,100,192.12500000,1.92125000,6.82949000
12,Fixed Delta 1.7,1.7,,,"University of Utah track and field athlete Lauren McCluskey was found shot dead Monday night in the backseat of a vehicle outside a campus dormitory, according to university police. The suspected shooter was 37-year-old Melvin Rowland, a man"," who had been in a relationship with McCluskey. He is still at large.

""It is with great sadness that the University of Utah has learned about the untimely death of our student-athlete,"" the school tweeted. ""Our thoughts and prayers are with her family and friends.""

""It is with great sadness that the University of Utah has learned about the untimely death of our student-athlete."" — University of Utah (@UofU) May 29",99,38,0.3838383838383838,3.075371921883995,0.0010512010198350896,Human/Unwatermarked,0.0,72,0.5694444444444444,0.704225352112676,0.4305555555555556,1.7,1.7,1.7,,,,,,,,,,,,,,100,77.62500000,0.77625000,2.17330706
13,Fixed Delta 1.7,1.7,,,The Linux kernel now includes everything that is needed to use 3D acceleration with all GeForce graphics chips. Drivers have also been added for a Wireless Gigabit chip and a PCIe WLAN chip from Realtek. In his email announcing the release of Linux," 3.2, Linus Torvalds noted that, “The 3.2 kernel (not yet released) includes a driver for the Atheros AR9285 Ethernet chip, which should make it easier to add support for PCIe devices, as the Linux kernel features a lot of support for PCIe devices”. He also said that, “The Realtek RTL8192G wireless NIC driver is also in the 3.2 kernel, which should make it easier to add support",99,44,0.4444444444444444,4.467993169529578,3.947841320552369e-06,Watermarked,0.9999960521586795,70,0.6142857142857143,0.782608695652174,0.3857142857142857,1.7,1.7,1.7,,,,,,,,,,,,,,100,153.37500000,1.53375000,4.63552750
