method,score_field,metric,estimate,ci_lower,ci_upper,bootstrap_repetitions,confidence_level
CA-KL,z_score,mean_score,7.567796695851885,7.3943134393397045,7.737702369728639,2000,0.95
CA-KL,z_score,fixed_threshold_detection_rate,0.955988,0.936,0.974,2000,0.95
CA-KL,z_score,auc,0.997604727,0.99555575,0.9991960999999999,2000,0.95
CA-KL,z_score,tpr_at_1pct_fpr,0.977984,0.964,0.99,2000,0.95
CA-KL,z_score,actual_fpr_at_1pct,0.012043,0.004,0.022,2000,0.95
CA-KL,z_score,tpr_at_5pct_fpr,0.985995,0.974,0.996,2000,0.95
CA-KL,z_score,actual_fpr_at_5pct,0.062032000000000004,0.042,0.084,2000,0.95
CA-KL + Candidate Greenlist,weighted_z_score,mean_score,9.139703893069008,8.973345033110416,9.310742269981558,2000,0.95
CA-KL + Candidate Greenlist,weighted_z_score,fixed_threshold_detection_rate,0.9658749999999999,0.95,0.98,2000,0.95
CA-KL + Candidate Greenlist,weighted_z_score,auc,0.998783612,0.9970758,0.999844,2000,0.95
CA-KL + Candidate Greenlist,weighted_z_score,tpr_at_1pct_fpr,0.989845,0.98,0.998,2000,0.95
CA-KL + Candidate Greenlist,weighted_z_score,actual_fpr_at_1pct,0.014089,0.006,0.024,2000,0.95
CA-KL + Candidate Greenlist,weighted_z_score,tpr_at_5pct_fpr,0.991945,0.984,0.998,2000,0.95
CA-KL + Candidate Greenlist,weighted_z_score,actual_fpr_at_5pct,0.052014,0.034,0.072,2000,0.95
CA-KL + Candidate Greenlist,winmax_weighted_z_score,mean_score,9.179908387332572,9.010756342511133,9.342826065357372,2000,0.95
CA-KL + Candidate Greenlist,winmax_weighted_z_score,fixed_threshold_detection_rate,0.9700949999999999,0.954,0.984,2000,0.95
CA-KL + Candidate Greenlist,winmax_weighted_z_score,auc,0.993842278,0.9885074000000001,0.9980561,2000,0.95
CA-KL + Candidate Greenlist,winmax_weighted_z_score,tpr_at_1pct_fpr,0.976116,0.962,0.988,2000,0.95
CA-KL + Candidate Greenlist,winmax_weighted_z_score,actual_fpr_at_1pct,0.009961,0.002,0.02,2000,0.95
CA-KL + Candidate Greenlist,winmax_weighted_z_score,tpr_at_5pct_fpr,0.984052,0.972,0.994,2000,0.95
CA-KL + Candidate Greenlist,winmax_weighted_z_score,actual_fpr_at_5pct,0.05242,0.034,0.072,2000,0.95
CA-KL + Candidate Greenlist,z_score,mean_score,6.812167983136261,6.630217549059084,6.98425464799129,2000,0.95
CA-KL + Candidate Greenlist,z_score,fixed_threshold_detection_rate,0.9245990000000001,0.9,0.946,2000,0.95
CA-KL + Candidate Greenlist,z_score,auc,0.997071648,0.99471335,0.99883805,2000,0.95
