method,score_field,samples,mean_score,mean_score_ci_lower,mean_score_ci_upper,fixed_threshold_detection_rate,fixed_threshold_detection_rate_ci_lower,fixed_threshold_detection_rate_ci_upper,auc,auc_ci_lower,auc_ci_upper,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lower,tpr_at_1pct_fpr_ci_upper,actual_fpr_at_1pct,tpr_at_5pct_fpr,tpr_at_5pct_fpr_ci_lower,tpr_at_5pct_fpr_ci_upper,actual_fpr_at_5pct
CA-KL,z_score,500,7.5681747306968035,7.3943134393397045,7.737702369728639,0.956,0.936,0.974,0.997588,0.99555575,0.9991960999999999,0.978,0.964,0.99,0.012,0.986,0.974,0.996,0.062
CA-KL + Candidate Greenlist,z_score,500,6.8101669276960095,6.630217549059084,6.98425464799129,0.924,0.9,0.946,0.99707,0.99471335,0.99883805,0.978,0.964,0.99,0.012,0.986,0.974,0.994,0.062
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,500,6.387272991173513,6.213972192646445,6.568149167249244,0.888,0.86,0.916,0.995058,0.9916339000000001,0.99787635,0.96,0.942,0.976,0.012,0.982,0.97,0.992,0.062
CA-KL + Weighted Detector,z_score,500,7.5681747306968035,7.392917339586057,7.7325788952422725,0.956,0.938,0.974,0.997588,0.99569925,0.9990981,0.978,0.964,0.99,0.012,0.986,0.974,0.994,0.062
CA-KL + Candidate Greenlist,weighted_z_score,500,9.141021486504341,8.973345033110416,9.310742269981558,0.966,0.95,0.98,0.998796,0.9970758,0.999844,0.99,0.98,0.998,0.014,0.992,0.984,0.998,0.052
CA-KL + Candidate Greenlist + Weighted/WinMax,weighted_z_score,500,9.11740906357905,8.939640150413117,9.27854050848578,0.976,0.962,0.988,0.99924,0.997724,1.0,0.996,0.99,1.0,0.014,0.996,0.99,1.0,0.052
CA-KL + Weighted Detector,weighted_z_score,500,8.839899147533771,8.687207366173766,8.976102202807178,0.976,0.9619500000000001,0.988,0.999436,0.9985474000000001,0.9999560999999999,0.994,0.986,1.0,0.014,0.996,0.99,1.0,0.052
CA-KL + Candidate Greenlist,winmax_weighted_z_score,500,9.178913291561171,9.010756342511133,9.342826065357372,0.97,0.954,0.984,0.993804,0.9885074000000001,0.9980561,0.976,0.962,0.988,0.01,0.984,0.972,0.994,0.052
CA-KL + Candidate Greenlist + Weighted/WinMax,winmax_weighted_z_score,500,9.155209302770542,8.987517944729374,9.311253588125163,0.978,0.964,0.99,0.996996,0.9930515000000001,0.999616,0.982,0.968,0.992,0.01,0.992,0.9839500000000001,0.998,0.052
CA-KL + Weighted Detector,winmax_weighted_z_score,500,8.874908345685832,8.715386608478832,9.016417243258365,0.98,0.966,0.992,0.995236,0.9906195999999999,0.9987562,0.98,0.966,0.992,0.01,0.984,0.972,0.994,0.052
