prompt_id,fold
1,2
2,3
3,5
4,1
5,3
6,4
7,1
8,5
9,2
10,3
11,2
12,5
13,4
14,3
15,5
16,5
17,1
18,3
19,3
20,5
21,4
22,1
23,1
24,1
25,3
26,5
27,3
28,5
29,4
30,1
31,2
32,1
33,4
34,1
35,1
36,3
37,5
38,4
39,4
40,3
41,4
42,1
43,5
44,5
45,5
46,5
47,1
48,3
49,4
50,4
51,1
52,3
53,4
54,2
55,5
56,5
57,4
58,1
59,5
60,1
61,4
62,4
63,4
64,3
65,2
66,1
67,5
68,5
69,4
70,1
71,5
72,5
73,4
74,3
75,2
76,5
77,2
78,2
79,2
80,3
81,2
82,2
83,3
84,2
85,4
86,1
87,4
88,2
89,4
90,5
91,3
92,1
93,2
94,5
95,3
96,1
97,5
98,2
99,5
100,5
101,1
102,5
103,3
104,2
105,5
106,1
107,3
108,3
109,3
110,3
111,3
112,5
113,3
114,4
115,3
116,1
117,4
118,3
119,1
120,3
121,1
122,1
123,2
124,1
125,3
126,4
127,1
128,1
129,5
130,1
131,1
132,1
133,2
134,1
135,1
136,5
137,1
138,4
139,3
140,5
141,4
142,2
143,2
144,5
145,3
146,3
147,2
148,2
149,5
150,2
151,2
152,2
153,3
154,5
155,1
156,4
157,1
158,5
159,2
160,3
161,4
162,3
163,1
164,3
165,3
166,2
167,4
168,1
169,1
170,2
171,3
172,4
173,5
174,3
175,3
176,3
177,3
178,1
179,1
180,4
181,1
182,3
183,4
184,4
185,3
186,2
187,3
188,2
189,1
190,1
191,2
192,4
193,1
194,1
195,3
196,2
197,4
198,4
199,5
200,5
201,4
202,2
203,4
204,5
205,3
206,3
207,3
208,2
209,3
210,1
211,4
212,1
213,1
214,1
215,2
216,4
217,2
218,3
219,3
220,4
221,5
222,1
223,4
224,3
225,5
226,2
227,2
228,1
229,5
230,2
231,5
232,5
233,2
234,1
235,1
236,3
237,1
238,4
239,4
240,4
241,1
242,2
243,4
244,5
245,2
246,2
247,3
248,4
249,4
250,1
251,5
252,4
253,3
254,5
255,1
256,3
257,3
258,1
259,2
260,5
261,3
262,3
263,2
264,2
265,2
266,2
267,5
268,5
269,4
270,1
271,5
272,1
273,4
274,5
275,2
276,5
277,1
278,5
279,1
280,1
281,5
282,2
283,5
284,4
285,5
286,2
287,1
288,3
289,1
290,4
291,3
292,2
293,4
294,3
295,2
296,5
297,3
298,5
299,1
300,2
301,3
302,4
303,4
304,3
305,5
306,1
307,2
308,1
309,2
310,5
311,4
312,2
313,2
314,1
315,1
316,3
317,1
318,5
319,4
320,3
321,4
322,2
323,3
324,4
325,2
326,4
327,4
328,4
329,5
330,4
331,4
332,4
333,2
334,4
335,1
336,2
337,2
338,3
339,5
340,4
341,3
342,3
343,5
344,5
345,2
346,3
347,5
348,1
349,3
350,1
351,3
352,4
353,2
354,3
355,2
356,1
357,5
358,1
359,2
360,5
361,3
362,4
363,5
364,3
365,3
366,1
367,2
368,5
369,3
370,2
371,4
372,4
373,2
374,4
375,1
376,5
377,3
378,3
379,4
380,1
381,2
382,4
383,3
384,2
385,3
386,2
387,5
388,4
389,2
390,2
391,4
392,5
393,3
394,2
395,3
396,5
397,5
398,1
399,1
400,3
401,5
402,2
403,1
404,1
405,4
406,4
407,5
408,3
409,2
410,4
411,4
412,4
413,5
414,2
415,2
416,1
417,5
418,2
419,5
420,4
421,4
422,3
423,2
424,3
425,3
426,2
427,5
428,3
429,5
430,3
431,1
432,1
433,5
434,1
435,5
436,5
437,4
438,1
439,5
440,4
441,3
442,2
443,3
444,4
445,1
446,4
447,4
448,4
449,5
450,3
451,5
452,4
453,2
454,1
455,2
456,5
457,3
458,4
459,2
460,4
461,2
462,4
463,5
464,1
465,2
466,1
467,4
468,4
469,5
470,1
471,1
472,5
473,5
474,2
475,2
476,4
477,4
478,5
479,2
480,2
481,5
482,3
483,1
484,4
485,2
486,3
487,2
488,2
489,1
490,4
491,2
492,5
493,2
494,3
495,2
496,1
497,5
498,1
499,5
500,4
