score_field,fold,target_fpr,threshold,calibration_negative_samples,test_negative_samples,test_actual_fpr
z_score,1,0.01,2.379061298061204,400,100,0.03
z_score,1,0.05,1.4506471329641486,400,100,0.08
z_score,2,0.01,2.379061298061204,400,100,0.02
z_score,2,0.05,1.4506471329641486,400,100,0.08
z_score,3,0.01,2.6111648393354674,400,100,0.0
z_score,3,0.05,1.4506471329641486,400,100,0.06
z_score,4,0.01,2.379061298061204,400,100,0.01
z_score,4,0.05,1.4506471329641486,400,100,0.06
z_score,5,0.01,2.6111648393354674,400,100,0.0
z_score,5,0.05,1.4506471329641486,400,100,0.03
weighted_z_score,1,0.01,2.1589242204863397,400,100,0.04
weighted_z_score,1,0.05,1.622281395942362,400,100,0.06
weighted_z_score,2,0.01,2.2215741910279827,400,100,0.02
weighted_z_score,2,0.05,1.6098398019093245,400,100,0.09
weighted_z_score,3,0.01,2.2282762558274176,400,100,0.0
weighted_z_score,3,0.05,1.801027872647659,400,100,0.01
weighted_z_score,4,0.01,2.2282762558274176,400,100,0.0
weighted_z_score,4,0.05,1.621749431010188,400,100,0.07
weighted_z_score,5,0.01,2.224786848365201,400,100,0.01
weighted_z_score,5,0.05,1.687141010946033,400,100,0.03
winmax_weighted_z_score,1,0.01,3.6740835230268667,400,100,0.01
winmax_weighted_z_score,1,0.05,2.9520587688796485,400,100,0.08
winmax_weighted_z_score,2,0.01,3.519550341121469,400,100,0.02
winmax_weighted_z_score,2,0.05,3.0080519009192654,400,100,0.04
winmax_weighted_z_score,3,0.01,3.6740835230268667,400,100,0.01
winmax_weighted_z_score,3,0.05,2.9644282398187136,400,100,0.07
winmax_weighted_z_score,4,0.01,3.764829272312623,400,100,0.0
winmax_weighted_z_score,4,0.05,3.0421780114211523,400,100,0.03
winmax_weighted_z_score,5,0.01,3.6740835230268667,400,100,0.01
winmax_weighted_z_score,5,0.05,3.0080519009192654,400,100,0.04
