method,score_field,metric,estimate,ci_lower,ci_upper,bootstrap_repetitions,confidence_level
CA-KL,z_score,mean_score,12.119490684797942,11.89775608302692,12.328491609103974,2000,0.95
CA-KL,z_score,fixed_threshold_detection_rate,0.9840330661322645,0.9719438877755511,0.9939879759519038,2000,0.95
CA-KL,z_score,auc,0.9954751768065189,0.9901329211529271,0.9992951835534797,2000,0.95
CA-KL,z_score,tpr_at_1pct_fpr,0.9840330661322645,0.9719438877755511,0.9939879759519038,2000,0.95
CA-KL,z_score,actual_fpr_at_1pct,0.013949899799599198,0.004008016032064128,0.026052104208416832,2000,0.95
CA-KL,z_score,tpr_at_5pct_fpr,0.9900781563126252,0.9819639278557114,0.9979959919839679,2000,0.95
CA-KL,z_score,actual_fpr_at_5pct,0.0579749498997996,0.03807615230460922,0.0781563126252505,2000,0.95
CA-KL + Candidate Greenlist,z_score,mean_score,10.929793151029232,10.719676507852867,11.140370421017492,2000,0.95
CA-KL + Candidate Greenlist,z_score,fixed_threshold_detection_rate,0.9800891783567134,0.9659318637274549,0.9900300601202402,2000,0.95
CA-KL + Candidate Greenlist,z_score,auc,0.9959489690804455,0.991638487395633,0.9992538182577579,2000,0.95
CA-KL + Candidate Greenlist,z_score,tpr_at_1pct_fpr,0.9840120240480962,0.9719438877755511,0.9939879759519038,2000,0.95
CA-KL + Candidate Greenlist,z_score,actual_fpr_at_1pct,0.013985971943887775,0.004008016032064128,0.024098196392785296,2000,0.95
CA-KL + Candidate Greenlist,z_score,tpr_at_5pct_fpr,0.9920030060120241,0.9839679358717435,0.9979959919839679,2000,0.95
CA-KL + Candidate Greenlist,z_score,actual_fpr_at_5pct,0.05822845691382766,0.03807615230460922,0.08016032064128256,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,mean_score,10.45175928517884,10.21656755635669,10.69062737294757,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,fixed_threshold_detection_rate,0.9717394789579158,0.9559118236472945,0.9859719438877755,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,auc,0.992573546893386,0.9864169220203934,0.9975743069304942,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,tpr_at_1pct_fpr,0.9717394789579158,0.9559118236472945,0.9859719438877755,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,actual_fpr_at_1pct,0.014163326653306612,0.006012024048096192,0.02404809619238477,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,tpr_at_5pct_fpr,0.9838316633266533,0.9719438877755511,0.9939879759519038,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,z_score,actual_fpr_at_5pct,0.05822244488977956,0.03807615230460922,0.08016032064128256,2000,0.95
CA-KL + Weighted Detector,z_score,mean_score,12.119371877295187,11.90376894363741,12.335156765033032,2000,0.95
CA-KL + Weighted Detector,z_score,fixed_threshold_detection_rate,0.9839729458917835,0.9719438877755511,0.9939879759519038,2000,0.95
CA-KL + Weighted Detector,z_score,auc,0.9954554821064976,0.9896583246653627,0.999275354315846,2000,0.95
CA-KL + Weighted Detector,z_score,tpr_at_1pct_fpr,0.9839729458917835,0.9719438877755511,0.9939879759519038,2000,0.95
CA-KL + Weighted Detector,z_score,actual_fpr_at_1pct,0.013982965931863727,0.006012024048096192,0.026052104208416832,2000,0.95
CA-KL + Weighted Detector,z_score,tpr_at_5pct_fpr,0.9900140280561122,0.9799599198396793,0.9979959919839679,2000,0.95
CA-KL + Weighted Detector,z_score,actual_fpr_at_5pct,0.05795691382765531,0.03807615230460922,0.08016032064128256,2000,0.95
Current Adaptive Delta,z_score,mean_score,9.968396082629756,9.733607359672499,10.193405929780111,2000,0.95
Current Adaptive Delta,z_score,fixed_threshold_detection_rate,0.9676813627254509,0.9519038076152304,0.9819639278557114,2000,0.95
Current Adaptive Delta,z_score,auc,0.9904569007754989,0.9831950474094483,0.9965764193718096,2000,0.95
Current Adaptive Delta,z_score,tpr_at_1pct_fpr,0.9676813627254509,0.9519038076152304,0.9819639278557114,2000,0.95
Current Adaptive Delta,z_score,actual_fpr_at_1pct,0.013917835671342684,0.004008016032064128,0.02404809619238477,2000,0.95
Current Adaptive Delta,z_score,tpr_at_5pct_fpr,0.9819438877755511,0.969939879759519,0.9919839679358717,2000,0.95
Current Adaptive Delta,z_score,actual_fpr_at_5pct,0.05831362725450902,0.03807615230460922,0.07820641282565102,2000,0.95
Fixed Delta 2.0,z_score,mean_score,10.65489188244024,10.430960911397815,10.887215384707853,2000,0.95
Fixed Delta 2.0,z_score,fixed_threshold_detection_rate,0.9740250501002004,0.9599198396793587,0.9859719438877755,2000,0.95
Fixed Delta 2.0,z_score,auc,0.9915513993919703,0.9844586467524228,0.9970804836125156,2000,0.95
Fixed Delta 2.0,z_score,tpr_at_1pct_fpr,0.9740250501002004,0.9599198396793587,0.9859719438877755,2000,0.95
Fixed Delta 2.0,z_score,actual_fpr_at_1pct,0.013991983967935872,0.004008016032064128,0.02404809619238477,2000,0.95
Fixed Delta 2.0,z_score,tpr_at_5pct_fpr,0.9861693386773547,0.9759519038076152,0.9959919839679359,2000,0.95
Fixed Delta 2.0,z_score,actual_fpr_at_5pct,0.05818336673346693,0.03807615230460922,0.0781563126252505,2000,0.95
CA-KL,,corpus_ppl,6.3138879752230155,6.030441831940133,6.583319309359912,2000,0.95
CA-KL + Candidate Greenlist,,corpus_ppl,6.674246213529972,6.400383604764301,6.946343482090172,2000,0.95
CA-KL + Candidate Greenlist + Weighted/WinMax,,corpus_ppl,6.197463334671851,5.932188667206961,6.478980122963056,2000,0.95
CA-KL + Weighted Detector,,corpus_ppl,6.31108201698061,6.025001226676152,6.582767120088304,2000,0.95
Current Adaptive Delta,,corpus_ppl,5.60027902622969,5.3682732136724,5.818581372531676,2000,0.95
Fixed Delta 2.0,,corpus_ppl,5.743633417703929,5.495759317047791,5.9922615543011295,2000,0.95
No Watermark,,corpus_ppl,4.5227803307565075,4.3340028937311486,4.711568013689784,2000,0.95
