prompt_id,fold
1,2
2,3
3,5
4,1
5,4
6,4
7,3
8,5
9,1
10,3
11,2
12,4
13,4
14,2
15,4
16,5
17,1
18,3
19,3
20,5
21,4
22,1
23,1
24,5
25,3
26,4
27,3
28,5
29,4
30,5
31,2
32,1
33,4
34,1
35,1
36,3
37,4
38,4
39,4
40,3
41,3
42,1
43,3
44,4
45,3
46,4
47,1
48,2
49,3
50,4
51,2
52,3
53,3
54,3
55,1
56,5
57,4
58,1
59,5
60,1
61,4
62,4
63,3
64,5
65,2
66,1
67,5
68,4
69,2
70,1
71,5
72,5
73,3
74,3
75,2
76,5
77,2
78,1
79,2
80,3
81,2
82,1
83,5
84,2
85,4
86,1
87,4
88,1
89,4
90,5
91,2
92,2
93,5
94,4
95,4
96,1
97,4
98,2
99,3
100,4
101,5
102,5
103,3
104,2
105,4
106,5
107,2
108,3
109,3
110,2
111,3
112,4
113,3
114,3
115,3
116,1
117,3
118,2
119,1
120,3
121,1
122,1
123,1
124,1
125,3
126,4
127,1
128,5
129,4
130,5
131,5
132,1
133,1
134,5
135,1
136,5
137,5
138,4
139,3
140,4
141,4
142,2
143,2
144,4
145,3
146,2
147,2
148,2
149,4
150,2
151,1
152,1
153,3
154,4
155,1
156,3
157,1
158,5
159,2
160,3
161,4
162,3
163,1
164,2
165,2
166,2
167,4
168,5
169,1
170,1
171,3
172,4
173,5
174,2
175,3
176,2
177,3
178,5
179,1
180,3
181,1
182,3
183,3
184,4
185,2
186,2
187,3
188,1
189,1
190,1
191,1
192,4
193,1
194,1
195,3
196,2
197,4
198,4
199,4
200,5
201,4
202,2
203,4
204,5
205,3
206,3
207,3
208,1
209,3
210,1
211,4
212,1
213,5
214,1
215,2
216,3
217,2
218,3
219,3
220,4
221,4
222,1
223,3
224,2
225,4
226,1
227,2
228,1
229,5
230,2
231,5
232,5
233,2
234,1
235,5
236,3
237,5
238,3
239,4
240,4
241,1
242,2
243,4
244,5
245,2
246,2
247,3
248,4
249,4
250,1
251,5
252,3
253,3
254,5
255,1
256,2
257,3
258,5
259,1
260,5
261,3
262,2
263,2
264,2
265,2
266,2
267,5
268,5
269,4
270,1
271,5
272,5
273,3
274,5
275,2
276,5
277,5
278,5
279,1
280,1
281,5
282,2
283,5
284,4
285,5
286,2
287,1
288,3
289,1
290,4
291,2
292,2
293,4
294,3
295,2
296,5
297,3
298,5
299,1
300,1
301,2
302,4
303,4
304,3
305,5
306,1
307,2
308,5
309,2
310,5
311,4
312,1
313,1
314,5
315,1
316,2
317,5
318,4
319,4
320,2
321,3
322,1
323,2
324,4
325,2
326,4
327,3
328,3
329,5
330,3
331,4
332,4
333,1
334,4
335,1
336,1
337,2
338,2
339,5
340,4
341,3
342,3
343,4
344,5
345,2
346,3
347,5
348,1
349,2
350,1
351,3
352,4
353,2
354,3
355,1
356,5
357,5
358,1
359,1
360,5
361,3
362,4
363,5
364,3
365,3
366,5
367,2
368,4
369,3
370,2
371,4
372,4
373,1
374,4
375,1
376,4
377,3
378,3
379,4
380,1
381,2
382,4
383,2
384,2
385,3
386,2
387,4
388,4
389,2
390,2
391,4
392,5
393,3
394,2
395,2
396,5
397,4
398,5
399,1
400,2
401,4
402,2
403,1
404,5
405,3
406,3
407,5
408,2
409,2
410,4
411,4
412,4
413,5
414,2
415,2
416,1
417,5
418,1
419,5
420,4
421,3
422,2
423,3
424,3
425,1
426,1
427,1
428,2
429,5
430,1
431,1
432,5
433,1
434,5
435,5
436,5
437,3
438,5
439,1
440,3
441,2
442,3
443,4
444,1
445,4
446,4
447,4
448,5
449,5
450,5
451,2
452,3
453,5
454,5
455,4
456,3
457,2
458,3
459,5
460,1
461,4
462,3
463,1
464,2
465,1
466,3
467,4
468,2
469,1
470,5
471,5
472,5
473,2
474,2
475,4
476,4
477,5
478,2
479,1
480,4
481,3
482,5
483,3
484,2
485,3
486,2
487,2
488,5
489,5
490,4
491,1
492,2
493,3
494,2
495,1
496,5
497,1
498,5
499,3
