score_field,fold,target_fpr,threshold,calibration_negative_samples,test_negative_samples,test_actual_fpr
z_score,1,0.01,4.365641250653994,399,100,0.0
z_score,1,0.05,1.940285000290664,399,100,0.04
z_score,2,0.01,4.0422604172722165,399,100,0.01
z_score,2,0.05,1.940285000290664,399,100,0.09
z_score,3,0.01,4.0422604172722165,399,100,0.01
z_score,3,0.05,1.940285000290664,399,100,0.05
z_score,4,0.01,2.748737083745107,399,100,0.05
z_score,4,0.05,1.940285000290664,399,100,0.07
z_score,5,0.01,4.0422604172722165,400,99,0.0
z_score,5,0.05,1.940285000290664,400,99,0.04040404040404041
