method,watermarked_ratio,position,samples,avg_z_score,standard_auc_in_sample,standard_tpr_at_1pct_fpr_in_sample,standard_tpr_at_5pct_fpr_in_sample,standard_fixed_threshold_detection_rate,standard_negative_rate_at_fixed_threshold,avg_weighted_z_score,weighted_auc_in_sample,weighted_tpr_at_1pct_fpr_in_sample,weighted_tpr_at_5pct_fpr_in_sample,weighted_fixed_threshold_detection_rate,weighted_negative_rate_at_fixed_threshold,avg_winmax_weighted_z_score,winmax_auc_in_sample,winmax_tpr_at_1pct_fpr_in_sample,winmax_tpr_at_5pct_fpr_in_sample,winmax_fixed_threshold_detection_rate,winmax_negative_rate_at_fixed_threshold
CA-KL,0.0,beginning,500,-0.5467884000587988,0.5,0.02,0.072,0.0,0.0,-0.08138700046371068,0.5,0.012,0.052,0.0,0.0,2.1889211591048157,0.5,0.012,0.052,0.002,0.002
CA-KL,0.0,middle,500,-0.5526819277241032,0.5,0.014,0.072,0.0,0.0,-0.0707794554634331,0.5,0.012,0.052,0.0,0.0,2.18307083489243,0.5,0.012,0.052,0.004,0.004
CA-KL,0.0,end,500,-0.5467884000587988,0.5,0.02,0.072,0.0,0.0,-0.06987181503916641,0.5,0.012,0.052,0.0,0.0,2.189891875147121,0.5,0.012,0.052,0.004,0.004
CA-KL,0.0,pooled,1500,-0.548752909280567,0.5,0.011333333333333334,0.072,0.0,0.0,-0.07401275698877006,0.5,0.010666666666666666,0.051333333333333335,0.0,0.0,2.187294623048122,0.5,0.011333333333333334,0.050666666666666665,0.0033333333333333335,0.0033333333333333335
CA-KL,0.25,beginning,500,2.186826182031567,0.950708,0.644,0.82,0.058,0.0,2.8851344715924925,0.97154,0.756,0.896,0.194,0.0,5.9858798122417145,0.980684,0.946,0.958,0.936,0.002
CA-KL,0.25,middle,500,2.1756939631082144,0.94638,0.536,0.824,0.056,0.0,2.9487477707253302,0.969292,0.754,0.884,0.188,0.0,6.058355249688758,0.984328,0.95,0.958,0.944,0.004
CA-KL,0.25,end,500,2.1884632730497073,0.946866,0.656,0.818,0.056,0.0,3.021701615192042,0.967132,0.76,0.884,0.222,0.0,5.932972750767181,0.982574,0.944,0.96,0.93,0.004
CA-KL,0.25,pooled,1500,2.1836611393964964,0.9479882222222222,0.5413333333333333,0.8206666666666667,0.056666666666666664,0.0,2.9518612858366216,0.9692804444444444,0.7466666666666667,0.886,0.20133333333333334,0.0,5.992402604232551,0.9825284444444444,0.9466666666666667,0.9586666666666667,0.9366666666666666,0.0033333333333333335
CA-KL,0.5,beginning,500,4.99378244173461,0.994392,0.972,0.982,0.774,0.0,5.801703547645569,0.997404,0.976,0.988,0.89,0.0,8.259628216604916,0.997392,0.99,0.992,0.99,0.002
CA-KL,0.5,middle,500,5.037001644613509,0.994622,0.966,0.978,0.794,0.0,5.605832294339448,0.996168,0.97,0.976,0.876,0.0,8.285988689385901,0.997256,0.99,0.99,0.99,0.004
CA-KL,0.5,end,500,4.999348551196286,0.993824,0.966,0.972,0.774,0.0,5.88551758301732,0.996772,0.974,0.984,0.884,0.0,8.269964816027025,0.995098,0.99,0.99,0.99,0.004
CA-KL,0.5,pooled,1500,5.010044212514802,0.9942724444444444,0.9633333333333334,0.9773333333333334,0.7806666666666666,0.0,5.764351141667445,0.9967813333333333,0.9726666666666667,0.982,0.8833333333333333,0.0,8.271860574005949,0.9965857777777778,0.99,0.9906666666666667,0.99,0.0033333333333333335
CA-KL,0.75,beginning,500,7.844612740723809,0.999284,0.992,0.996,0.98,0.0,8.535624235327546,0.999912,0.998,1.0,0.98,0.0,9.076178258183457,1.0,1.0,1.0,1.0,0.002
CA-KL,0.75,middle,500,7.858691723479813,0.99847,0.99,0.99,0.98,0.0,8.474422163267903,0.999752,0.996,0.998,0.98,0.0,9.051621364377203,1.0,1.0,1.0,1.0,0.004
CA-KL,0.75,end,500,7.852143359407253,0.998394,0.99,0.99,0.98,0.0,8.747608183113574,0.999932,0.998,1.0,0.986,0.0,9.18802687652119,1.0,1.0,1.0,1.0,0.004
CA-KL,0.75,pooled,1500,7.8518159412036255,0.9987146666666666,0.9906666666666667,0.992,0.98,0.0,8.585884860569674,0.9998622222222222,0.9973333333333333,0.9993333333333333,0.982,0.0,9.105275499693951,1.0,1.0,1.0,1.0,0.0033333333333333335
CA-KL,1.0,beginning,500,10.71312362270892,0.99991,1.0,1.0,0.99,0.0,11.761126543208093,1.0,1.0,1.0,0.996,0.0,11.796684478836305,1.0,1.0,1.0,1.0,0.002
CA-KL,1.0,middle,500,10.71312362270892,0.99988,1.0,1.0,0.99,0.0,11.761126543208093,1.0,1.0,1.0,0.996,0.0,11.796684478836305,1.0,1.0,1.0,1.0,0.004
CA-KL,1.0,end,500,10.71312362270892,0.99991,1.0,1.0,0.99,0.0,11.761126543208093,1.0,1.0,1.0,0.996,0.0,11.796684478836305,1.0,1.0,1.0,1.0,0.004
CA-KL,1.0,pooled,1500,10.71312362270892,0.9999,1.0,1.0,0.99,0.0,11.761126543208093,1.0,1.0,1.0,0.996,0.0,11.796684478836305,1.0,1.0,1.0,1.0,0.0033333333333333335
CA-KL-CG,0.0,beginning,500,-0.5467884000587988,0.5,0.02,0.072,0.0,0.0,0.011681872729016796,0.5,0.012,0.052,0.0,0.0,2.2650137583456895,0.5,0.012,0.052,0.0,0.0
CA-KL-CG,0.0,middle,500,-0.5526819277241032,0.5,0.014,0.072,0.0,0.0,0.0035350574296039456,0.5,0.012,0.052,0.0,0.0,2.2694619519492925,0.5,0.012,0.052,0.006,0.006
CA-KL-CG,0.0,end,500,-0.5467884000587988,0.5,0.02,0.072,0.0,0.0,0.0014776303956043973,0.5,0.012,0.052,0.0,0.0,2.2711110206244496,0.5,0.012,0.052,0.004,0.004
CA-KL-CG,0.0,pooled,1500,-0.548752909280567,0.5,0.011333333333333334,0.072,0.0,0.0,0.005564853518075046,0.5,0.010666666666666666,0.051333333333333335,0.0,0.0,2.268528910306477,0.5,0.011333333333333334,0.050666666666666665,0.0033333333333333335,0.0033333333333333335
CA-KL-CG,0.25,beginning,500,1.8937868897844863,0.926906,0.526,0.748,0.05,0.0,2.5650492743272,0.949072,0.638,0.788,0.106,0.0,5.4866942582216085,0.969504,0.878,0.914,0.85,0.0
