name,family,parameter,epsilon,source_id,method,samples,avg_z_score,avg_green_fraction,avg_distinct_1,avg_distinct_2,avg_repetition_rate,avg_weighted_z_score,avg_winmax_weighted_z_score,avg_actual_kl,avg_delta,avg_delta_std,avg_delta_p25,avg_delta_p50,avg_delta_p75,avg_gate_pass_rate,kgw_detection_rate,fixed_threshold_weighted_rate,corpus_ppl,weighted_auc_in_sample,weighted_tpr_at_1pct_fpr_in_sample,weighted_tpr_at_5pct_fpr_in_sample,winmax_auc_in_sample,winmax_tpr_at_1pct_fpr_in_sample,winmax_tpr_at_5pct_fpr_in_sample,tpr_at_1pct_fpr
CA-KL epsilon 0.20,CA-KL,epsilon=0.20,0.2,cakl_eps020,CA-KL,500,4.527844452564921,0.4504971178982568,0.7064076351866092,0.9178225779028654,0.29359236481339074,,,0.1665586618277898,1.8836170935882621,0.6357845819619515,1.38743701171875,1.6303808441162109,2.319051040649414,1.0,0.678,0.0,4.8394948081631295,,,,,,,
CA-KL epsilon 0.30,CA-KL,epsilon=0.30,0.3,cakl_eps030,CA-KL,500,5.643080761317126,0.5005164814084565,0.713909309152149,0.9186167262517769,0.286090690847851,,,0.2431881579056937,2.1301026722236385,0.5533146216695786,1.6681624832153321,1.9185145568847657,2.6282222442626955,1.0,0.848,0.0,5.27784816332533,,,,,,,
CA-KL epsilon 0.35,CA-KL,epsilon=0.35,0.35,cakl_eps035,CA-KL,500,6.30733718237092,0.5294354633060923,0.707639293143039,0.9112664629753215,0.2923607068569611,,,0.27967203182505146,2.23547444677526,0.5085423296338641,1.8038251419067384,2.056920227050781,2.722934509277344,1.0,0.892,0.0,5.454449498649716,,,,,,,
CA-KL epsilon 0.40,CA-KL,epsilon=0.40,0.4,cakl_eps040,CA-KL,500,6.8367107112257415,0.5521362813841063,0.70190728051508,0.905638308952107,0.29809271948491994,,,0.31722923233984657,2.3280578734583774,0.46630716979845954,1.919565628051758,2.172131607055664,2.808599006652832,1.0,0.916,0.0,5.735421971495875,,,,,,,
CA-KL epsilon 0.50,CA-KL,epsilon=0.50,0.5,cakl_eps050,CA-KL,500,7.55817168933504,0.585316257235953,0.7045472779757399,0.9032068461279177,0.2954527220242601,,,0.3835890009518612,2.509560238538451,0.3836449986387747,2.1545446701049804,2.4242991027832033,2.9427338333129884,1.0,0.954,0.0,5.8430778857818435,,,,,,,
CA-KL-CG epsilon 0.50,CA-KL-CG,epsilon=0.50,0.5,gate010095,CA-KL + Candidate Greenlist + Weighted/WinMax,500,6.387272991173513,0.5345069840941229,0.7057343509286819,0.9098412610159139,0.29426564907131814,9.11740906357905,9.155209302770542,0.3480638133458296,1.6892670607579572,,,,,0.7230212058305342,0.888,0.976,5.607327863861491,0.99924,0.996,0.996,0.996996,0.982,0.992,0.996
Fixed Delta 1.0,Fixed Delta,delta=1.0,,full,Fixed Delta 1.0,500,2.941247157937341,0.38116790120353644,0.7030874151662679,0.9222265190594633,0.2969125848337321,2.57727744459943,3.2199869833215367,,,,,,,0.20157396581537956,0.254,0.156,4.499555922581562,0.9775695,0.8425,0.9215,0.953313,0.7575,0.857,0.8425
Fixed Delta 1.7,Fixed Delta,delta=1.7,,fixed17,Fixed Delta 1.7,500,5.534910122248712,0.4945514976390446,0.6981366150830859,0.9080733297737642,0.30186338491691406,,,,,,,,,,0.82,0.0,4.951895261636551,,,,,,,
Fixed Delta 1.864,Fixed Delta,delta=1.864,,full,Fixed Delta 1.864,500,6.335325203696364,0.5304516855952883,0.6967260417704156,0.898556558896858,0.3032739582295844,4.9311452619914915,5.10845105273535,,,,,,,0.202912768225999,0.896,0.736,5.2053799526781805,0.9775695,0.8425,0.9215,0.953313,0.7575,0.857,0.8425
Fixed Delta 2.0,Fixed Delta,delta=2.0,,full,Fixed Delta 2.0,500,6.8200148806903815,0.5511986638801246,0.6935499162345375,0.8962298649822543,0.3064500837654624,5.257336813597383,5.419326298251188,,,,,,,0.20175110716745873,0.928,0.784,5.430064483330589,0.9775695,0.8425,0.9215,0.953313,0.7575,0.857,0.8425
Fixed Delta 3.0,Fixed Delta,delta=3.0,,full,Fixed Delta 3.0,500,10.097504913874106,0.6971798480378876,0.6957852777395879,0.8784531754511722,0.30421472226041213,6.665569500616868,6.7190980909421265,,,,,,,0.2010469694324218,0.984,0.902,7.019850148244039,0.9775695,0.8425,0.9215,0.953313,0.7575,0.857,0.8425
